,message_count,group_type,has_media,has_url,has_emoji,message_length,hour,day,response_rate
0,2.0,3.0,0.0,0.0,1.0,17.0,4.0,3.0,0.0
1,1.0,3.0,0.0,0.0,0.0,12.0,7.0,3.0,0.0
2,6.0,3.0,0.0,0.0,0.0,52.0,16.0,3.0,0.09090909090909091
3,4.0,3.0,0.0,0.0,0.0,5.0,18.0,3.0,0.13636363636363635
4,4.0,3.0,0.0,0.0,0.0,15.0,22.0,4.0,0.09090909090909091
5,6.0,3.0,0.0,0.0,0.0,12.0,19.0,5.0,0.13636363636363635
6,1.0,3.0,0.0,0.0,0.0,25.0,22.0,5.0,0.0
7,2.0,3.0,0.0,0.0,0.0,14.0,10.0,2.0,0.0
8,2.0,3.0,0.0,0.0,1.0,3.0,16.0,2.0,0.045454545454545456
9,1.0,3.0,0.0,0.0,0.0,12.0,13.0,5.0,0.0
10,1.0,3.0,1.0,0.0,0.0,0.0,17.0,2.0,0.0
11,18.0,3.0,0.0,0.0,0.0,5.0,18.0,2.0,0.22727272727272727
12,4.0,3.0,0.0,0.0,0.0,23.0,10.0,5.0,0.0
13,2.0,3.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0
14,2.0,3.0,0.0,0.0,0.0,11.0,17.0,2.0,0.0
15,3.0,3.0,0.0,0.0,1.0,42.0,18.0,2.0,0.045454545454545456
16,24.0,3.0,0.0,0.0,0.0,38.0,13.0,5.0,0.13636363636363635
17,18.0,3.0,1.0,0.0,0.0,0.0,18.0,2.0,0.22727272727272727
18,11.0,3.0,0.0,0.0,1.0,24.0,19.0,2.0,0.18181818181818182
19,9.0,3.0,0.0,0.0,1.0,3.0,22.0,2.0,0.13636363636363635
20,1.0,3.0,0.0,0.0,1.0,5.0,8.0,3.0,0.0
21,1.0,3.0,0.0,0.0,0.0,9.0,13.0,3.0,0.0
22,1.0,3.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0
23,2.0,3.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0
24,16.0,3.0,0.0,0.0,0.0,4.0,16.0,2.0,0.09090909090909091
25,1.0,3.0,0.0,0.0,0.0,21.0,13.0,3.0,0.0
26,5.0,3.0,1.0,0.0,0.0,0.0,20.0,4.0,0.09090909090909091
27,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
28,2.0,3.0,0.0,0.0,0.0,9.0,16.0,2.0,0.045454545454545456
29,4.0,3.0,0.0,0.0,1.0,3.0,17.0,2.0,0.13636363636363635
30,9.0,3.0,0.0,0.0,0.0,59.0,20.0,2.0,0.045454545454545456
31,3.0,3.0,0.0,0.0,0.0,19.0,23.0,2.0,0.045454545454545456
32,17.0,3.0,0.0,0.0,0.0,19.0,19.0,4.0,0.22727272727272727
33,10.0,3.0,0.0,0.0,0.0,45.0,23.0,3.0,0.13636363636363635
34,1.0,3.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0
35,1.0,3.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0
36,3.0,3.0,0.0,0.0,0.0,1.0,10.0,4.0,0.0
37,3.0,3.0,0.0,0.0,0.0,1.0,14.0,4.0,0.09090909090909091
38,1.0,3.0,0.0,0.0,0.0,1.0,18.0,4.0,0.0
39,2.0,3.0,1.0,0.0,0.0,0.0,17.0,5.0,0.045454545454545456
40,2.0,3.0,0.0,0.0,0.0,30.0,5.0,6.0,0.0
41,2.0,3.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0
42,5.0,3.0,0.0,0.0,0.0,18.0,14.0,2.0,0.09090909090909091
43,10.0,3.0,0.0,0.0,0.0,45.0,17.0,2.0,0.18181818181818182
44,8.0,3.0,1.0,0.0,0.0,0.0,19.0,5.0,0.3181818181818182
45,1.0,3.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0
46,1.0,3.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0
47,1.0,3.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0
48,21.0,3.0,1.0,0.0,0.0,0.0,22.0,2.0,0.2727272727272727
49,3.0,3.0,0.0,0.0,0.0,6.0,9.0,3.0,0.0
50,12.0,3.0,0.0,0.0,0.0,11.0,11.0,3.0,0.045454545454545456
51,15.0,3.0,1.0,0.0,0.0,0.0,10.0,4.0,0.18181818181818182
52,2.0,3.0,0.0,0.0,0.0,70.0,13.0,4.0,0.045454545454545456
53,4.0,3.0,0.0,0.0,0.0,56.0,16.0,4.0,0.09090909090909091
54,1.0,3.0,0.0,0.0,0.0,1.0,15.0,5.0,0.0
55,13.0,3.0,0.0,0.0,0.0,39.0,17.0,2.0,0.18181818181818182
56,12.0,3.0,0.0,0.0,1.0,18.0,19.0,2.0,0.13636363636363635
57,3.0,3.0,0.0,0.0,0.0,31.0,9.0,6.0,0.0
58,1.0,3.0,0.0,0.0,0.0,39.0,18.0,3.0,0.0
59,1.0,3.0,0.0,0.0,1.0,13.0,21.0,3.0,0.0
60,10.0,3.0,0.0,0.0,1.0,3.0,10.0,4.0,0.09090909090909091
61,1.0,3.0,0.0,0.0,0.0,15.0,12.0,4.0,0.0
62,5.0,3.0,0.0,0.0,0.0,1.0,15.0,4.0,0.09090909090909091
63,1.0,3.0,0.0,0.0,1.0,3.0,17.0,4.0,0.0
64,2.0,3.0,0.0,0.0,0.0,1.0,19.0,4.0,0.045454545454545456
65,1.0,3.0,0.0,0.0,0.0,40.0,22.0,4.0,0.0
66,1.0,3.0,0.0,0.0,0.0,53.0,0.0,5.0,0.0
67,1.0,3.0,0.0,0.0,0.0,34.0,13.0,5.0,0.0
68,4.0,3.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
69,4.0,3.0,0.0,0.0,0.0,39.0,13.0,2.0,0.09090909090909091
70,1.0,3.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0
71,1.0,3.0,0.0,0.0,0.0,1.0,17.0,2.0,0.0
72,1.0,3.0,0.0,0.0,0.0,1.0,18.0,2.0,0.0
73,1.0,3.0,0.0,0.0,0.0,1.0,23.0,2.0,0.0
74,1.0,3.0,0.0,0.0,1.0,18.0,9.0,3.0,0.0
75,1.0,3.0,0.0,0.0,0.0,42.0,12.0,3.0,0.0
76,1.0,3.0,0.0,0.0,0.0,39.0,10.0,4.0,0.0
77,1.0,3.0,0.0,0.0,0.0,24.0,12.0,4.0,0.0
78,1.0,3.0,0.0,0.0,1.0,3.0,16.0,4.0,0.0
79,1.0,3.0,0.0,0.0,1.0,1.0,18.0,4.0,0.0
80,1.0,3.0,1.0,0.0,0.0,0.0,23.0,5.0,0.0
81,15.0,3.0,0.0,0.0,0.0,14.0,13.0,2.0,0.09090909090909091
82,5.0,3.0,0.0,0.0,0.0,28.0,18.0,2.0,0.09090909090909091
83,4.0,3.0,0.0,0.0,0.0,19.0,12.0,4.0,0.0
84,2.0,3.0,0.0,0.0,0.0,39.0,15.0,6.0,0.045454545454545456
85,1.0,3.0,0.0,0.0,1.0,9.0,18.0,6.0,0.0
86,1.0,3.0,0.0,0.0,0.0,39.0,13.0,2.0,0.0
87,22.0,3.0,0.0,0.0,0.0,1.0,16.0,2.0,0.3181818181818182
88,1.0,3.0,0.0,0.0,0.0,1.0,19.0,2.0,0.0
89,1.0,3.0,0.0,0.0,1.0,45.0,22.0,2.0,0.0
