,message_count,group_type,has_media,has_url,has_emoji,message_length,hour,day,response_rate
0,47.0,3.0,0.0,0.0,1.0,17.0,4.0,3.0,0.45454545454545453
1,2.0,3.0,0.0,0.0,1.0,107.0,20.0,2.0,0.0
2,16.0,3.0,0.0,0.0,1.0,91.0,10.0,5.0,0.13636363636363635
3,17.0,3.0,0.0,0.0,0.0,111.0,13.0,5.0,0.13636363636363635
4,15.0,3.0,0.0,0.0,0.0,119.0,13.0,5.0,0.22727272727272727
5,126.0,3.0,0.0,0.0,0.0,102.0,19.0,2.0,0.7272727272727273
6,56.0,3.0,0.0,0.0,0.0,132.0,17.0,2.0,0.45454545454545453
7,93.0,3.0,0.0,0.0,1.0,94.0,11.0,4.0,0.5454545454545454
8,29.0,3.0,0.0,0.0,1.0,93.0,13.0,2.0,0.2727272727272727
9,10.0,3.0,0.0,0.0,0.0,137.0,16.0,2.0,0.22727272727272727
10,75.0,3.0,0.0,0.0,0.0,98.0,18.0,2.0,0.4090909090909091
11,4.0,3.0,0.0,0.0,0.0,164.0,20.0,3.0,0.09090909090909091
12,4.0,3.0,0.0,0.0,0.0,152.0,20.0,3.0,0.045454545454545456
13,3.0,3.0,0.0,0.0,0.0,194.0,14.0,6.0,0.045454545454545456
14,30.0,3.0,0.0,0.0,1.0,96.0,14.0,6.0,0.36363636363636365
15,32.0,3.0,0.0,0.0,0.0,101.0,19.0,0.0,0.36363636363636365
16,15.0,3.0,0.0,0.0,1.0,98.0,16.0,5.0,0.36363636363636365
17,11.0,3.0,0.0,0.0,0.0,109.0,20.0,2.0,0.09090909090909091
18,6.0,3.0,0.0,0.0,0.0,97.0,23.0,2.0,0.09090909090909091
19,42.0,3.0,0.0,0.0,0.0,138.0,23.0,2.0,0.3181818181818182
20,17.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.1111111111111111
21,8.0,1.0,0.0,0.0,0.0,658.0,15.0,3.0,0.07407407407407407
22,36.0,1.0,0.0,0.0,0.0,146.0,15.0,3.0,0.14814814814814814
23,6.0,1.0,0.0,0.0,0.0,658.0,18.0,3.0,0.037037037037037035
24,1.0,1.0,0.0,0.0,0.0,348.0,22.0,3.0,0.0
25,12.0,1.0,0.0,0.0,0.0,226.0,22.0,3.0,0.09259259259259259
26,7.0,1.0,0.0,0.0,0.0,167.0,11.0,5.0,0.07407407407407407
27,1.0,1.0,0.0,0.0,0.0,299.0,18.0,1.0,0.0
28,10.0,1.0,0.0,0.0,1.0,121.0,19.0,1.0,0.037037037037037035
29,14.0,1.0,0.0,0.0,0.0,154.0,22.0,1.0,0.12962962962962962
30,4.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.0
31,3.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.0
32,22.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.12962962962962962
33,7.0,1.0,0.0,0.0,0.0,150.0,14.0,4.0,0.09259259259259259
34,71.0,1.0,0.0,0.0,0.0,191.0,21.0,4.0,0.37037037037037035
35,16.0,1.0,0.0,0.0,0.0,126.0,10.0,2.0,0.09259259259259259
36,1.0,1.0,0.0,0.0,0.0,229.0,22.0,2.0,0.0
37,20.0,1.0,0.0,0.0,1.0,161.0,22.0,2.0,0.2222222222222222
38,21.0,1.0,0.0,0.0,0.0,106.0,16.0,4.0,0.24074074074074073
39,6.0,1.0,0.0,0.0,1.0,133.0,13.0,0.0,0.07407407407407407
40,2.0,1.0,0.0,0.0,0.0,106.0,20.0,0.0,0.0
41,15.0,1.0,0.0,0.0,0.0,257.0,20.0,0.0,0.0
42,8.0,1.0,0.0,0.0,0.0,1155.0,20.0,0.0,0.037037037037037035
43,2.0,1.0,0.0,0.0,0.0,249.0,23.0,0.0,0.018518518518518517
44,5.0,1.0,0.0,0.0,0.0,252.0,13.0,3.0,0.018518518518518517
45,11.0,1.0,0.0,0.0,1.0,286.0,14.0,3.0,0.09259259259259259
46,5.0,1.0,0.0,0.0,0.0,107.0,21.0,3.0,0.07407407407407407
47,15.0,1.0,0.0,0.0,0.0,171.0,17.0,5.0,0.1111111111111111
48,5.0,1.0,0.0,0.0,0.0,291.0,11.0,1.0,0.018518518518518517
49,24.0,1.0,0.0,1.0,0.0,164.0,19.0,1.0,0.14814814814814814
50,42.0,1.0,0.0,0.0,0.0,106.0,21.0,3.0,0.14814814814814814
51,2.0,1.0,0.0,0.0,0.0,191.0,5.0,3.0,0.018518518518518517
52,3.0,1.0,0.0,0.0,0.0,207.0,7.0,3.0,0.0
53,16.0,1.0,0.0,0.0,1.0,129.0,8.0,3.0,0.16666666666666666
54,13.0,1.0,0.0,0.0,1.0,156.0,12.0,3.0,0.14814814814814814
55,25.0,1.0,0.0,0.0,0.0,207.0,14.0,3.0,0.2777777777777778
56,33.0,1.0,0.0,0.0,1.0,327.0,14.0,4.0,0.14814814814814814
57,43.0,1.0,0.0,0.0,0.0,149.0,13.0,6.0,0.24074074074074073
58,5.0,1.0,0.0,0.0,0.0,99.0,14.0,1.0,0.018518518518518517
59,7.0,1.0,0.0,0.0,1.0,184.0,15.0,1.0,0.05555555555555555
60,2.0,1.0,0.0,0.0,0.0,142.0,18.0,1.0,0.018518518518518517
61,1.0,1.0,0.0,0.0,0.0,380.0,19.0,1.0,0.0
62,3.0,1.0,0.0,0.0,0.0,380.0,19.0,1.0,0.0
63,16.0,1.0,0.0,0.0,0.0,149.0,20.0,1.0,0.12962962962962962
64,2.0,1.0,0.0,0.0,0.0,376.0,18.0,2.0,0.018518518518518517
65,86.0,1.0,0.0,0.0,0.0,376.0,20.0,2.0,0.3333333333333333
66,37.0,1.0,0.0,0.0,0.0,114.0,14.0,3.0,0.07407407407407407
67,1.0,1.0,0.0,0.0,0.0,154.0,8.0,4.0,0.0
68,17.0,1.0,0.0,0.0,1.0,204.0,9.0,4.0,0.09259259259259259
69,47.0,1.0,0.0,0.0,0.0,247.0,16.0,4.0,0.35185185185185186
70,7.0,1.0,0.0,0.0,0.0,152.0,15.0,0.0,0.07407407407407407
71,1.0,1.0,0.0,0.0,0.0,185.0,21.0,0.0,0.0
72,13.0,1.0,0.0,0.0,1.0,151.0,21.0,0.0,0.14814814814814814
73,4.0,1.0,0.0,0.0,0.0,116.0,19.0,1.0,0.037037037037037035
74,1.0,1.0,0.0,0.0,0.0,195.0,20.0,1.0,0.0
75,7.0,1.0,0.0,0.0,1.0,567.0,20.0,1.0,0.05555555555555555
76,1.0,1.0,0.0,0.0,0.0,960.0,8.0,2.0,0.0
77,1.0,1.0,0.0,0.0,1.0,166.0,8.0,2.0,0.0
78,5.0,1.0,0.0,0.0,1.0,567.0,8.0,2.0,0.037037037037037035
79,100.0,1.0,0.0,0.0,0.0,148.0,11.0,2.0,0.4074074074074074
80,31.0,1.0,0.0,0.0,0.0,193.0,18.0,4.0,0.3333333333333333
81,4.0,1.0,0.0,0.0,0.0,127.0,12.0,5.0,0.018518518518518517
82,14.0,1.0,0.0,0.0,0.0,127.0,13.0,5.0,0.05555555555555555
83,3.0,1.0,0.0,0.0,0.0,130.0,17.0,6.0,0.037037037037037035
84,7.0,1.0,0.0,0.0,0.0,469.0,8.0,2.0,0.018518518518518517
85,14.0,1.0,0.0,1.0,0.0,102.0,11.0,2.0,0.0
86,1.0,1.0,0.0,0.0,1.0,122.0,14.0,2.0,0.0
87,13.0,1.0,0.0,0.0,0.0,194.0,14.0,2.0,0.037037037037037035
88,13.0,1.0,0.0,0.0,1.0,92.0,18.0,2.0,0.05555555555555555
89,10.0,1.0,0.0,0.0,1.0,122.0,9.0,2.0,0.07407407407407407
90,6.0,1.0,0.0,0.0,0.0,109.0,19.0,2.0,0.018518518518518517
91,6.0,1.0,0.0,0.0,1.0,606.0,21.0,2.0,0.07407407407407407
92,6.0,1.0,0.0,0.0,0.0,97.0,9.0,5.0,0.07407407407407407
93,27.0,1.0,0.0,0.0,1.0,173.0,19.0,5.0,0.05555555555555555
94,24.0,1.0,0.0,0.0,0.0,103.0,11.0,0.0,0.35185185185185186
95,4.0,1.0,0.0,0.0,0.0,428.0,22.0,0.0,0.037037037037037035
96,11.0,1.0,0.0,0.0,0.0,161.0,8.0,3.0,0.037037037037037035
97,1.0,1.0,0.0,0.0,0.0,415.0,11.0,3.0,0.0
98,8.0,1.0,0.0,0.0,1.0,229.0,18.0,3.0,0.037037037037037035
